"genes" "Transcript.length..including.UTRs.and.CDS."
"17528" "Camsap3" 4168
"17529" "Dll4" 2058
"17530" "Nt5m" 1240
"17531" "Prodh" 2142
"17532" "Klhl22" 2558
"17533" "ENSMOCG00000019419" 792
"17534" "Acvr2b" 1726
"17535" "Cfap65" 5577
"17536" "Shcbp1l" 1848
"17537" "Gpc3" 1740
"17538" "Stab1" 7647
"17539" "Sulf1" 2613
"17540" "Tbc1d30" 2970
"17541" "Arhgap18" 2483
"17542" "Pik3c2b" 5746
"17543" "ENSMOCG00000019429" 2795
"17544" "Hmgcs1" 3368
"17545" "Oasl2" 1524
"17546" "ENSMOCG00000019432" 2466
"17547" "Hrh3" 2745
"17548" "Reg2" 522
"17549" "Setd6" 1437
"17550" "ENSMOCG00000019436" 732
"17551" "Mog" 1679
"17552" "ENSMOCG00000019438" 700
"17553" "Mllt11" 1638
"17554" "Ankrd28" 3841
"17555" "ENSMOCG00000019441" 840
"17556" "Scn4a" 5550
"17557" "Parp8" 3189
"17558" "Casp1" 1471
"17559" "Gja5" 1682
"17560" "Thoc7" 1259
"17561" "Gnb3" 1825
"17562" "Meox1" 759
"17563" "ENSMOCG00000019449" 348
"17564" "ENSMOCG00000019450" 705
"17565" "Mrpl10" 1416
"17566" "Trim39" 2606
"17567" "Ggta1" 1041
"17568" "Rhou" 780
"17569" "Bst1" 1236
"17570" "Slurp1" 333
"17571" "Ubtf" 3159
"17572" "ENSMOCG00000019458" 390
"17573" "ENSMOCG00000019459" 285
"17574" "Hivep1" 8034
"17575" "ENSMOCG00000019461" 1017
"17576" "4930432K21Rik" 2453
"17577" "Mthfr" 1953
"17578" "Tusc1" 612
"17579" "Mcee" 732
"17580" "Tmem170" 752
"17581" "1700001P01Rik" 548
"17582" "Ccer2" 813
"17583" "Stk24" 4705
"17584" "Ttyh3" 4578
"17585" "Wdr7" 7045
"17586" "ENSMOCG00000019472" 1510
"17587" "ENSMOCG00000019473" 2441
"17588" "Sh3pxd2a" 6393
"17589" "ENSMOCG00000019475" 978
"17590" "Slfnl1" 1227
"17591" "Lrrc45" 2573
"17592" "ENSMOCG00000019478" 525
"17593" "Rbm27" 6215
"17594" "ENSMOCG00000019480" 4462
"17595" "Ttc9c" 1577
"17596" "ENSMOCG00000019482" 927
"17597" "Myoz2" 1156
"17598" "ENSMOCG00000019484" 1201
"17599" "Itga4" 5189
"17600" "Slamf7" 1002
"17601" "Tafa4" 411
"17602" "Crnn" 1566
"17603" "Ppp2r2c" 2569
"17604" "Dek" 2613
"17605" "Maml3" 3405
"17606" "Gpr21" 1793
"17607" "ENSMOCG00000019493" 1547
"17608" "Sobp" 4448
"17609" "ENSMOCG00000019495" 234
"17610" "ENSMOCG00000019496" 4272
"17611" "Exd2" 3102
"17612" "Traf2" 3580
"17613" "ENSMOCG00000019499" 2017
"17614" "Tgm1" 2728
"17615" "Ppp2r5d" 2934
"17616" "Ick" 2342
"17617" "Arntl2" 1683
"17618" "Mycbpap" 2766
"17619" "Lmtk2" 4419
"17620" "Nadk2" 1242
"17621" "ENSMOCG00000019507" 330
"17622" "Adprhl2" 1131
"17623" "Tgfb1i1" 1440
"17624" "Nfrkb" 3834
"17625" "Scrn2" 1215
"17626" "Ptpn4" 3256
"17627" "Hadha" 1689
"17628" "Emx2" 834
"17629" "Prdm15" 3315
"17630" "Rbak" 2097
"17631" "Jmjd4" 2871
"17632" "Axin1" 3381
"17633" "ENSMOCG00000019519" 2158
"17634" "Tmem19" 1366
"17635" "Kdm1a" 2325
"17636" "Arg2" 1474
"17637" "D7Ertd443e" 2338
"17638" "Coro1c" 3518
"17639" "Hmx2" 1069
"17640" "Man2b2" 3063
"17641" "Ccdc180" 5034
"17642" "ENSMOCG00000019528" 1583
"17643" "Ccdc17" 1566
"17644" "ENSMOCG00000019530" 1401
"17645" "B4galnt4" 3508
"17646" "Sdc1" 3076
"17647" "Rbbp7" 1993
"17648" "Cdk5rap3" 1905
"17649" "1700025G04Rik" 1269
"17650" "Tmbim4" 636
"17651" "Tex52" 1371
"17652" "Atf3" 705
"17653" "Higd1a" 508
"17654" "Tmem230" 1150
"17655" "Pld3" 2461
"17656" "Vipr1" 1377
"17657" "Fchsd1" 2589
"17658" "Tiam2" 5157
"17659" "Sept9" 1755
"17660" "Spp2" 890
"17661" "Ss18l2" 2416
"17662" "Kcnh2" 4162
"17663" "Cavin2" 3110
"17664" "Pomk" 2159
"17665" "ENSMOCG00000019551" 4825
"17666" "F11r" 1742
"17667" "Csrnp2" 4548
"17668" "Pcdh7" 3768
"17669" "Rpn1" 2267
"17670" "Neurl1b" 1985
"17671" "Dok6" 996
"17672" "Itgad" 3492
"17673" "ENSMOCG00000019559" 676
"17674" "Tgs1" 2541
"17675" "ENSMOCG00000019561" 831
"17676" "Fgr" 2148
"17677" "Stag3" 3751
"17678" "ENSMOCG00000019564" 613
"17679" "9930012K11Rik" 1080
"17680" "Arhgef15" 2523
"17681" "Chrna2" 2201
"17682" "Map7d1" 3335
"17683" "ENSMOCG00000019569" 1136
"17684" "Pawr" 2273
"17685" "ENSMOCG00000019571" 537
"17686" "Arfgef2" 8612
"17687" "Enox2" 3564
"17688" "Ap2s1" 429
"17689" "Scara5" 1479
"17690" "Syngr1" 3998
"17691" "Flywch2" 420
"17692" "Mmp20" 1477
"17693" "ENSMOCG00000019579" 1548
"17694" "Atp6v1c2" 1673
"17695" "Cers5" 1245
"17696" "ENSMOCG00000019582" 3447
"17697" "ENSMOCG00000019583" 1076
"17698" "Qtrt1" 1335
"17699" "F2" 1656
"17700" "Hikeshi" 588
"17701" "Aadacl3" 1227
"17702" "Dnaic2" 1686
"17703" "Csmd1" 10695
"17704" "ENSMOCG00000019590" 414
"17705" "Mrpl24" 1242
"17706" "Fabp6" 387
"17707" "Tmem179" 1511
"17708" "Ddx27" 2474
"17709" "Slc26a3" 2253
"17710" "ENSMOCG00000019596" 825
"17711" "1700003F12Rik" 633
"17712" "Aqp9" 3586
"17713" "Serpinc1" 1857
"17714" "Aldh2" 2219
"17715" "Fmo1" 2371
"17716" "ENSMOCG00000019602" 489
"17717" "Git2" 2593
"17718" "Gspt1" 6760
"17719" "Htr5a" 1746
"17720" "Col18a1" 5618
"17721" "Il5" 399
"17722" "Armc5" 3149
"17723" "Ptbp3" 6674
"17724" "Cercam" 1794
"17725" "Pink1" 3049
"17726" "Las1l" 2283
"17727" "Pcna" 1282
"17728" "Kcnd3" 1968
"17729" "Nr0b1" 1784
"17730" "Taf6l" 1903
"17731" "Noc2l" 2792
"17732" "ENSMOCG00000019618" 726
"17733" "Rnf115" 1597
"17734" "Cuzd1" 1824
"17735" "Eme2" 1295
"17736" "9430015G10Rik" 2635
"17737" "Hoxc9" 1705
"17738" "Zfp426" 1665
"17739" "Slc17a5" 3377
"17740" "Zmym2" 6844
"17741" "Uggt2" 4503
"17742" "Uqcrq" 436
"17743" "Chrnb4" 1563
"17744" "Dpyd" 4400
"17745" "Tmem11" 1501
"17746" "ENSMOCG00000019632" 492
"17747" "Gemin7" 874
"17748" "Tbl3" 2525
"17749" "Lgals12" 1327
"17750" "Sdsl" 1263
"17751" "AI837181" 1495
"17752" "Plekha6" 5571
"17753" "Cdh23" 10029
"17754" "Nectin3" 2819
"17755" "ENSMOCG00000019641" 2100
"17756" "Recql5" 2910
"17757" "Zfp420" 3056
"17758" "Pim1" 1961
"17759" "BC048562" 687
"17760" "Agfg1" 3248
"17761" "Ncoa3" 4212
"17762" "Rbm26" 5529
"17763" "Scg2" 2468
"17764" "Tmem98" 1434
"17765" "Rad51ap1" 1106
"17766" "ENSMOCG00000019652" 435
"17767" "Grin2d" 3822
"17768" "Gtf3c3" 3983
"17769" "ENSMOCG00000019655" 756
"17770" "Rwdd2b" 1858
"17771" "Bag2" 992
"17772" "Acot8" 1171
"17773" "TH" 1861
"17774" "Klkb1" 3295
"17775" "ENSMOCG00000019661" 906
"17776" "Crispld2" 4073
"17777" "ENSMOCG00000019663" 240
"17778" "Yjefn3" 759
"17779" "Rad51" 1650
"17780" "Smpd2" 1245
"17781" "Fam120c" 3288
"17782" "Krt72" 1563
"17783" "Izumo3" 1119
"17784" "Jazf1" 732
"17785" "Auts2" 3060
"17786" "Psmd3" 2168
"17787" "Taf1c" 3122
"17788" "C1ql3" 4073
"17789" "Hat1" 1439
"17790" "Klk5" 1282
"17791" "ENSMOCG00000019677" 1560
"17792" "Galm" 2324
"17793" "ENSMOCG00000019679" 570
"17794" "ENSMOCG00000019680" 282
"17795" "Ndst2" 3489
"17796" "Gpr101" 5532
"17797" "Calcrl" 2588
"17798" "Ralgapa1" 7519
"17799" "Arl2" 1019
"17800" "Gm1113" 2334
"17801" "ENSMOCG00000019687" 2746
"17802" "Aak1" 2883
"17803" "Ctsa" 1875
"17804" "Morc2a" 3298
"17805" "Asf1b" 1431
"17806" "Uqcrc2" 1613
"17807" "Tgfa" 294
"17808" "Bag6" 3354
"17809" "Wdr64" 3839
"17810" "Cfap58" 3297
"17811" "Lyplal1" 1469
"17812" "Slc52a3" 1053
"17813" "Wdr47" 4234
"17814" "ENSMOCG00000019700" 294
"17815" "Cfap221" 2584
"17816" "Begain" 2466
"17817" "F3" 1740
"17818" "ENSMOCG00000019704" 2807
"17819" "ENSMOCG00000019705" 429
"17820" "Kcnip1" 1448
"17821" "Atp8b5" 3558
"17822" "Zfp518b" 3701
"17823" "Fshb" 390
"17824" "Brd4" 5925
"17825" "ENSMOCG00000019711" 9889
"17826" "Crhr2" 1532
"17827" "Rnf214" 2288
"17828" "Trdmt1" 2738
"17829" "Slc5a7" 1828
"17830" "Nsrp1" 1879
"17831" "ENSMOCG00000019717" 2339
"17832" "Osbpl10" 2565
"17833" "ENSMOCG00000019719" 1168
"17834" "Ckap2" 1998
"17835" "H2-Eb1" 759
"17836" "Ceacam16" 1281
"17837" "Coch" 1563
"17838" "Eps8l2" 2142
"17839" "Nxph3" 2056
"17840" "Mex3b" 3537
"17841" "Wdr1" 2871
"17842" "Ncoa2" 8038
"17843" "Fkbp2" 842
"17844" "Mrps14" 675
"17845" "Hdac7" 4187
"17846" "ENSMOCG00000019732" 2098
"17847" "Glb1" 2363
"17848" "Zfp37" 1626
"17849" "Sec24a" 3387
"17850" "Kbtbd3" 3994
"17851" "Spata18" 1563
"17852" "Ctu1" 2194
"17853" "Vps13b" 12009
"17854" "Elmsan1" 6970
"17855" "Ddo" 1286
"17856" "Cpa2" 1331
"17857" "Tsg101" 1524
"17858" "BC024139" 2322
"17859" "Tmprss5" 1368
"17860" "Prrxl1" 1010
"17861" "Hltf" 3021
"17862" "ENSMOCG00000019748" 1500
"17863" "Asap2" 3006
"17864" "Tmco6" 1738
"17865" "Zfp395" 1509
"17866" "ENSMOCG00000019752" 885
"17867" "Cdc42se2" 2884
"17868" "ENSMOCG00000019754" 529
"17869" "Ccdc57" 3012
"17870" "Elp1" 4029
"17871" "ENSMOCG00000019757" 960
"17872" "Tjap1" 2617
"17873" "Mybbp1a" 4150
"17874" "ENSMOCG00000019760" 3918
"17875" "Sp1" 2485
"17876" "Tap1" 2880
"17877" "Tmx3" 5292
"17878" "ENSMOCG00000019764" 462
"17879" "Fam181b" 1263
"17880" "Gldn" 1847
"17881" "ENSMOCG00000019767" 861
"17882" "Miga2" 3409
"17883" "Arhgap29" 5108
"17884" "Smyd1" 1699
"17885" "Cdc42bpa" 8384
"17886" "Pmvk" 1233
"17887" "ENSMOCG00000019773" 240
"17888" "Chchd4" 1374
"17889" "Vamp2" 2180
"17890" "Acvr1b" 4359
"17891" "Plpbp" 2026
"17892" "Mid2" 2281
"17893" "Pgd" 2239
"17894" "Insrr" 4502
"17895" "ENSMOCG00000019781" 831
"17896" "Exoc5" 2112
"17897" "Tfap2a" 2046
"17898" "Med11" 715
"17899" "Fam98b" 1239
"17900" "Clybl" 1017
"17901" "Edaradd" 969
"17902" "ENSMOCG00000019788" 1059
"17903" "Btbd16" 1533
"17904" "Flt1" 6861
"17905" "Plekhs1" 1392
"17906" "Gse1" 3660
"17907" "Gm436" 1224
"17908" "Micu3" 1575
"17909" "Arl5a" 2102
"17910" "ENSMOCG00000019796" 1038
"17911" "Bcl6b" 1425
"17912" "Ttc7" 4658
"17913" "Pogz" 4673
"17914" "ENSMOCG00000019800" 231
"17915" "Fbxo43" 1890
"17916" "Ptpn7" 1197
"17917" "Impa1" 3865
"17918" "ENSMOCG00000019804" 1263
"17919" "Lrrc71" 2214
"17920" "Gp1bb" 1067
"17921" "Lyrm9" 594
"17922" "Prss30" 942
"17923" "Ubr5" 8998
"17924" "Tmem106b" 2151
"17925" "Mmel1" 2335
"17926" "Atoh8" 2363
"17927" "Clcf1" 1872
"17928" "Myo5a" 5568
"17929" "Sart1" 2547
"17930" "Lactb2" 1415
"17931" "Slc22a7" 1711
"17932" "Ssbp4" 1456
"17933" "ENSMOCG00000019819" 2775
"17934" "Inca1" 1064
"17935" "Cpne8" 3333
"17936" "Suclg2" 2234
"17937" "Spam1" 1542
"17938" "Slc25a36" 1403
"17939" "ENSMOCG00000019825" 589
"17940" "ENSMOCG00000019826" 285
"17941" "Rpp25l" 851
"17942" "Csrnp1" 1879
"17943" "P4ha3" 2148
"17944" "Cntln" 4562
"17945" "Tatdn3" 825
"17946" "S1pr1" 2930
"17947" "ENSMOCG00000019833" 4728
"17948" "ENSMOCG00000019834" 10383
"17949" "ENSMOCG00000019835" 1059
"17950" "Gnai1" 3142
"17951" "ENSMOCG00000019837" 1582
"17952" "4930544D05Rik" 639
"17953" "ENSMOCG00000019839" 2616
"17954" "Ufl1" 2668
"17955" "ENSMOCG00000019841" 2813
"17956" "ENSMOCG00000019842" 937
"17957" "Ccdc190" 1039
"17958" "ENSMOCG00000019844" 434
"17959" "Mtmr7" 3831
"17960" "Trim15" 879
"17961" "Rspo3" 2330
"17962" "Mlh1" 2574
"17963" "Vxn" 3175
"17964" "Fitm2" 3957
"17965" "Smoc1" 3943
"17966" "ENSMOCG00000019852" 1710
"17967" "ENSMOCG00000019853" 525
"17968" "ENSMOCG00000019854" 2554
"17969" "Col4a5" 5076
"17970" "Trpm2" 5570
"17971" "ENSMOCG00000019857" 1026
"17972" "Cmc4" 693
"17973" "Fastkd2" 2310
"17974" "Dlx3" 2526
"17975" "Pld1" 4606
"17976" "Ptpru" 5455
"17977" "Pik3ap1" 2418
"17978" "Camkmt" 972
"17979" "Hk2" 2757
"17980" "Rab33b" 2972
"17981" "Ece1" 3066
"17982" "Grxcr2" 756
"17983" "Zc3h10" 2121
"17984" "ENSMOCG00000019870" 447
"17985" "Tmem80" 1648
"17986" "Ovol2" 1509
"17987" "Tmem176b" 789
"17988" "Cdr2l" 3269
"17989" "ENSMOCG00000019875" 687
"17990" "Stk17b" 2337
"17991" "ENSMOCG00000019877" 321
"17992" "ENSMOCG00000019878" 2276
"17993" "Rer1" 2064
"17994" "Col23a1" 1599
"17995" "Pard6g" 1566
"17996" "Yipf5" 1603
"17997" "Folr2" 996
"17998" "ENSMOCG00000019884" 2241
"17999" "Dthd1" 2490
"18000" "Mtrex" 3547
"18001" "Eps15l1" 3094
"18002" "Bckdhb" 1488
"18003" "Id3" 950
"18004" "Akr1b8" 975
"18005" "S100a7a" 412
"18006" "ENSMOCG00000019892" 894
"18007" "Tnk2" 4959
"18008" "Faxc" 4090
"18009" "Mfsd6" 4306
"18010" "Pdk2" 2310
"18011" "1700020L24Rik" 573
"18012" "ENSMOCG00000019898" 2648
"18013" "Smarcb1" 1635
"18014" "Mgarp" 950
"18015" "Fbxo41" 6369
"18016" "Hdac8" 1921
"18017" "Rph3a" 2025
"18018" "Aloxe3" 2789
"18019" "Ppy" 300
"18020" "Psmg1" 1004
"18021" "Nfs1" 1335
"18022" "Krtap4-8" 741
"18023" "ENSMOCG00000019909" 908
"18024" "Ncam2" 2184
"18025" "Arl4a" 1104
"18026" "Csnk1e" 2640
"18027" "Ahi1" 4932
"18028" "Trmt13" 1698
"18029" "Il2rb" 1614
"18030" "Igfbp6" 937
"18031" "Tmbim7" 675
"18032" "Otud3" 5599
"18033" "Mrpl12" 1129
"18034" "Podnl1" 1677
"18035" "Gatd3a" 1285
"18036" "Lzts3" 4180
"18037" "Bcat2" 1718
"18038" "ENSMOCG00000019924" 702
"18039" "P2rx7" 1659
"18040" "Acd" 1203
"18041" "Pias3" 1887
"18042" "H2afx" 1103
"18043" "ENSMOCG00000019929" 2073
"18044" "ENSMOCG00000019930" 2062
"18045" "Rasl10a" 1455
"18046" "ENSMOCG00000019932" 144
"18047" "Smo" 3840
"18048" "Trp53tg5" 855
"18049" "ENSMOCG00000019935" 1687
"18050" "Gpr68" 2552
"18051" "Kif21b" 9029
"18052" "Tnn" 5758
"18053" "ENSMOCG00000019939" 1491
"18054" "ENSMOCG00000019940" 990
"18055" "Zfp354b" 1806
"18056" "Sgca" 2076
"18057" "Cenpk" 819
"18058" "Palm3" 2196
"18059" "Ngef" 2736
"18060" "Dok2" 1761
"18061" "ENSMOCG00000019947" 381
"18062" "ENSMOCG00000019948" 1323
"18063" "Ttpal" 4740
"18064" "ENSMOCG00000019950" 615
"18065" "Nkain1" 612
"18066" "Tcf25" 2291
"18067" "ENSMOCG00000019953" 1917
"18068" "ENSMOCG00000019954" 675
"18069" "Bnip3" 1436
"18070" "Ufsp1" 1027
"18071" "Fndc11" 1159
"18072" "ENSMOCG00000019958" 1050
"18073" "Zfp286" 1581
"18074" "ENSMOCG00000019960" 762
"18075" "Acsm3" 1773
"18076" "Zfp655" 4308
"18077" "Phactr2" 1899
"18078" "Mmp17" 4178
"18079" "ENSMOCG00000019965" 342
"18080" "ENSMOCG00000019966" 912
"18081" "Agtrap" 1032
"18082" "Acrv1" 1060
"18083" "Il1b" 882
"18084" "Gcg" 627
"18085" "Pgpep1" 1309
"18086" "ENSMOCG00000019972" 4314
"18087" "ENSMOCG00000019973" 864
"18088" "Vps13a" 2769
"18089" "ENSMOCG00000019975" 936
"18090" "Fnip1" 6180
"18091" "Fbxo46" 3003
"18092" "Rassf4" 1628
"18093" "ENSMOCG00000019979" 1297
"18094" "ENSMOCG00000019980" 516
"18095" "Reep6" 375
"18096" "Prdm11" 746
"18097" "ENSMOCG00000019983" 741
"18098" "Pak2" 5704
"18099" "Ptcd2" 1720
"18100" "Sh3tc1" 4186
"18101" "ENSMOCG00000019987" 2538
"18102" "Tox3" 3192
"18103" "Med13l" 9326
"18104" "Slc5a4b" 1977
"18105" "ENSMOCG00000019991" 4752
"18106" "Sdk1" 6501
"18107" "Slc39a7" 2265
"18108" "Tfap4" 2101
"18109" "Jade3" 3072
"18110" "Pold1" 3387
"18111" "ENSMOCG00000019997" 1750
"18112" "Klrd1" 531
"18113" "Rab35" 2407
"18114" "ENSMOCG00000020000" 2840
"18115" "Olfr187" 1192
"18116" "ENSMOCG00000020002" 4905
"18117" "Cenpq" 816
"18118" "Cachd1" 4983
"18119" "Spry2" 2058
"18120" "ENSMOCG00000020006" 339
"18121" "G3bp2" 4347
"18122" "Trp53" 1143
"18123" "Ptprj" 4083
"18124" "Bbs10" 2596
"18125" "ENSMOCG00000020011" 783
"18126" "Rpl3l" 1351
"18127" "ENSMOCG00000020013" 504
"18128" "Rrm1" 3132
"18129" "Zfp189" 1827
"18130" "ENSMOCG00000020016" 518
"18131" "Bpifa2" 693
"18132" "Jakmip2" 3083
"18133" "Slc34a3" 1809
"18134" "Zfp568" 1926
"18135" "Phax" 1137
"18136" "ENSMOCG00000020022" 1398
"18137" "1700007K13Rik" 558
"18138" "Hdac10" 2366
"18139" "Ndufs7" 669
"18140" "ENSMOCG00000020026" 2146
"18141" "Tcp11" 1365
"18142" "Rab10" 3533
"18143" "Mamstr" 1981
"18144" "St7l" 2517
"18145" "Sirt6" 1564
"18146" "Insig1" 2675
"18147" "E230025N22Rik" 1440
"18148" "Dnttip2" 2433
"18149" "Rad54b" 2759
"18150" "ENSMOCG00000020036" 3303
"18151" "Mcam" 2829
"18152" "ENSMOCG00000020038" 2401
"18153" "Actr5" 2332
"18154" "Rasa3" 4123
"18155" "Bbx" 3374
"18156" "Actr1b" 3324
"18157" "Decr2" 985
"18158" "ENSMOCG00000020044" 948
"18159" "Kera" 1891
"18160" "Cplx3" 952
"18161" "Tpi1" 1162
"18162" "Moxd1" 2097
"18163" "Lsm6" 608
"18164" "Add1" 2013
"18165" "Zscan21" 1880
"18166" "Spsb1" 3126
"18167" "Sat2" 510
"18168" "Synj2" 6338
"18169" "Ncam1" 2550
"18170" "ENSMOCG00000020056" 816
"18171" "4931428F04Rik" 3003
"18172" "Cavin3" 1110
"18173" "Cnot11" 1933
"18174" "Rftn2" 1458
"18175" "Rpusd2" 2041
"18176" "Slc26a11" 1758
"18177" "Zfp444" 2390
"18178" "ENSMOCG00000020064" 774
"18179" "Fbxo7" 1843
"18180" "ENSMOCG00000020066" 501
"18181" "Cpsf3" 1956
"18182" "Gopc" 4246
"18183" "Slc2a3" 3678
"18184" "ENSMOCG00000020070" 303
"18185" "Tunar" 198
"18186" "Cep78" 2371
"18187" "Sytl4" 3504
"18188" "ENSMOCG00000020074" 849
"18189" "Osbp2" 2101
"18190" "Aqp2" 813
"18191" "Nox1" 4238
"18192" "Sytl5" 3009
"18193" "Rfx8" 1954
"18194" "Appl1" 2121
"18195" "Tmem120a" 1349
"18196" "Ctr9" 3753
"18197" "ENSMOCG00000020083" 273
"18198" "Tgm4" 2043
"18199" "Patj" 5451
"18200" "Sord" 2130
"18201" "Ctbs" 1167
"18202" "Rai2" 2283
"18203" "Ttc13" 2487
"18204" "Zc3h12c" 2712
"18205" "Nat1" 882
"18206" "Arg1" 1426
"18207" "Rpl7l1" 1431
"18208" "Uqcc2" 464
"18209" "Mospd2" 4061
"18210" "ENSMOCG00000020096" 1204
"18211" "Kifap3" 3943
"18212" "ENSMOCG00000020098" 1068
"18213" "ENSMOCG00000020099" 1308
"18214" "Slc25a24" 3083
"18215" "Foxf1" 1255
"18216" "Dner" 2214
"18217" "Smlr1" 603
"18218" "Gtf2a1" 2333
"18219" "Pde6h" 270
"18220" "Kat2a" 3064
"18221" "Lpcat1" 2340
"18222" "ENSMOCG00000020108" 417
"18223" "ENSMOCG00000020109" 60
"18224" "Nip7" 1531
"18225" "Gaa" 4889
"18226" "Dars2" 1902
"18227" "ENSMOCG00000020113" 462
"18228" "Dnajc25" 2082
"18229" "B3gnt7" 1604
"18230" "Slc10a2" 1311
"18231" "Gstp3" 630
"18232" "Gng2" 3436
"18233" "Vsx2" 1734
"18234" "Cog4" 2797
"18235" "Glrx5" 888
"18236" "Cnn3" 2093
"18237" "Pqbp1" 1099
"18238" "Ccdc9" 1644
"18239" "Rprd1b" 3455
"18240" "Prkar1b" 2788
"18241" "Stk33" 1476
"18242" "Caprin1" 4049
"18243" "Edem1" 3630
"18244" "Spib" 786
"18245" "Vti1b" 1281
"18246" "Bst2" 516
"18247" "Trak2" 2709
"18248" "Cdkn1a" 1852
"18249" "Casd1" 2265
"18250" "ENSMOCG00000020136" 213
"18251" "ENSMOCG00000020137" 2782
"18252" "ENSMOCG00000020138" 1080
"18253" "Sis" 5400
"18254" "Nckap1" 3279
"18255" "ENSMOCG00000020141" 1557
"18256" "Rab33a" 1189
"18257" "Bicc1" 2922
"18258" "Entpd5" 3297
"18259" "Dusp28" 1247
"18260" "Lrfn2" 2756
"18261" "Nav1" 8698
"18262" "Thumpd3" 2080
"18263" "ENSMOCG00000020149" 1419
"18264" "Elob" 712
"18265" "Unc5a" 3898
"18266" "ENSMOCG00000020152" 420
"18267" "Dgcr6" 1028
"18268" "D2hgdh" 2656
"18269" "Gstm5" 918
"18270" "Eomes" 3114
"18271" "Bpifb2" 1619
"18272" "Pik3ip1" 792
"18273" "Baiap2" 2055
"18274" "St8sia1" 1071
"18275" "Rp9" 1151
"18276" "Ctxn2" 788
"18277" "ENSMOCG00000020163" 2788
"18278" "ENSMOCG00000020164" 291
"18279" "Zfp101" 1848
"18280" "Ap1b1" 4106
"18281" "Zbtb43" 4971
"18282" "Cfap47" 9375
"18283" "Rab29" 1334
"18284" "Cyp11b1" 1500
"18285" "Pdk1" 4952
"18286" "Hypk" 609
"18287" "Mnx1" 1215
"18288" "Paqr7" 2112
"18289" "Myh10" 7810
"18290" "Eepd1" 2668
"18291" "Rbp3" 3879
"18292" "Cd302" 1269
"18293" "Rcan2" 732
"18294" "Capn1" 2142
"18295" "Ppm1m" 1212
"18296" "Arf3" 4716
"18297" "Usp33" 3860
"18298" "Cisd1" 1042
"18299" "Slc16a8" 1530
"18300" "ENSMOCG00000020186" 207
"18301" "Fam163a" 629
"18302" "Tulp1" 1608
"18303" "Usp44" 2183
"18304" "Ndufs2" 1803
"18305" "Nhlrc3" 1584
"18306" "Pkhd1" 12201
"18307" "Slc35f5" 2713
"18308" "S100z" 378
"18309" "Cd47" 1409
"18310" "Ddhd1" 3637
"18311" "ENSMOCG00000020197" 771
"18312" "Sys1" 1450
"18313" "ENSMOCG00000020199" 3236
"18314" "Gpr18" 1358
"18315" "Ythdc1" 2870
"18316" "ENSMOCG00000020202" 6438
"18317" "Rimkla" 4135
"18318" "Elovl1" 1861
"18319" "Rasa1" 5029
"18320" "ENSMOCG00000020206" 513
"18321" "Ncan" 4443
"18322" "Slc29a4" 2812
"18323" "Cxxc5" 2590
"18324" "Dnm3" 960
"18325" "Prr5l" 2920
"18326" "Prl7c1" 753
"18327" "Klhdc8b" 2288
"18328" "Epha7" 3634
"18329" "ENSMOCG00000020215" 1791
"18330" "Tsr3" 972
"18331" "ENSMOCG00000020217" 1099
"18332" "Nasp" 1575
"18333" "P2rx3" 1739
"18334" "ENSMOCG00000020220" 348
"18335" "ENSMOCG00000020221" 969
"18336" "P3h4" 1500
"18337" "Kmt5a" 2638
"18338" "Wbp2nl" 873
"18339" "Slc13a4" 2754
"18340" "Cep72" 2588
"18341" "Chrna5" 1299
"18342" "ENSMOCG00000020228" 1077
"18343" "Grid1" 3030
"18344" "Tex33" 753
"18345" "Aipl1" 1115
"18346" "Rnase9" 793
"18347" "Mettl1" 1844
"18348" "Fbrsl1" 3012
"18349" "Entpd7" 2884
"18350" "H2-Oa" 753
"18351" "Itgb3" 2746
"18352" "Chaf1a" 2694
"18353" "Tomm5" 688
"18354" "Capns1" 1474
"18355" "ENSMOCG00000020241" 1200
"18356" "Sypl2" 795
"18357" "Sgip1" 2490
"18358" "Tmem119" 2194
"18359" "Cars" 3217
"18360" "ENSMOCG00000020246" 702
"18361" "Grap" 1476
"18362" "Dad1" 547
"18363" "Sec13" 1332
"18364" "C130050O18Rik" 1065
"18365" "ENSMOCG00000020251" 1225
"18366" "Micall2" 2865
"18367" "ENSMOCG00000020253" 2094
"18368" "Glb1l2" 1911
"18369" "Cep131" 3410
"18370" "Foxn4" 1664
"18371" "Polb" 1230
"18372" "ENSMOCG00000020258" 1077
"18373" "Kdm1b" 2166
"18374" "ENSMOCG00000020260" 940
"18375" "Piwil4" 2550
"18376" "Nuak2" 2339
"18377" "Lss" 4542
"18378" "ENSMOCG00000020264" 717
"18379" "Tcp1" 1915
"18380" "Pipox" 1613
"18381" "ENSMOCG00000020267" 4200
"18382" "Dhps" 1322
"18383" "Xpnpep2" 2016
"18384" "Pttg1ip" 2246
"18385" "Cidea" 516
"18386" "Cacna1b" 6999
"18387" "Asxl3" 6705
"18388" "Fam229a" 387
"18389" "ENSMOCG00000020275" 918
"18390" "Cacng5" 982
"18391" "Zfp62" 2748
"18392" "Hes6" 1273
"18393" "ENSMOCG00000020279" 228
"18394" "Otog" 8712
"18395" "ENSMOCG00000020281" 1143
"18396" "Bcr" 6112
"18397" "Fads1" 1344
"18398" "ENSMOCG00000020284" 1044
"18399" "ENSMOCG00000020285" 3021
"18400" "Pnpla2" 2270
